epName,true_slack,pred_slack,diff_slack,true_arr,pred_arr,diff_arr,required,spName,riseFall
u0_w_reg[0][26]/D,-50.247314453125,-50.247314453125,0.0,570.8745727539062,570.8745727539062,0.0,520.6272583007812,u0_w_reg[3][16]/CLK,fall
text_in_r_reg[110]/D,173.81187438964844,173.81187438964844,0.0,83.06269836425781,83.06269836425781,0.0,256.87457275390625,text_in_r_reg[110]/CLK,rise
sa23_reg[0]/D,-89.50045776367188,-89.50045776367188,0.0,493.08270263671875,493.0827331542969,-3.0517578125e-05,403.582275390625,text_in_r_reg[8]/CLK,rise
text_in_r_reg[27]/D,131.67947387695312,131.67947387695312,0.0,493.08123779296875,493.0812683105469,-3.0517578125e-05,624.7607421875,text_in_r_reg[27]/CLK,rise
text_in_r_reg[118]/D,178.5850830078125,178.5850830078125,0.0,78.1103286743164,78.1103286743164,0.0,256.6954040527344,text_in_r_reg[118]/CLK,rise
text_in_r_reg[104]/D,137.205078125,137.205078125,0.0,475.24853515625,475.24853515625,0.0,612.45361328125,text_in_r_reg[104]/CLK,rise
u0_w_reg[3][27]/D,-235.51507568359375,-235.51507568359375,0.0,561.96826171875,561.9681396484375,0.0001220703125,326.45306396484375,u0_w_reg[3][23]/CLK,rise
text_out_reg[117]/D,-41.53717041015625,-41.53717041015625,0.0,551.9442138671875,551.9441528320312,6.103515625e-05,510.406982421875,sa11_reg[7]/CLK,rise
text_in_r_reg[125]/D,172.07159423828125,172.07159423828125,0.0,84.72705841064453,84.72705078125,7.62939453125e-06,256.79864501953125,text_in_r_reg[125]/CLK,rise
text_in_r_reg[12]/D,135.52993774414062,135.52993774414062,0.0,415.53619384765625,415.5361633300781,3.0517578125e-05,551.0661010742188,text_in_r_reg[12]/CLK,rise
text_out_reg[1]/D,-71.63241577148438,-71.63241577148438,0.0,540.2691650390625,540.2691040039062,6.103515625e-05,468.6366882324219,sa32_reg[7]/CLK,rise
text_out_reg[88]/D,18.57415771484375,18.57415771484375,0.0,540.4990234375,540.4990234375,0.0,559.0731811523438,sa01_reg[1]/CLK,rise
text_in_r_reg[115]/D,142.0498046875,142.0498046875,0.0,480.16650390625,480.16650390625,0.0,622.21630859375,text_in_r_reg[115]/CLK,rise
text_out_reg[113]/D,-11.858154296875,-11.858154296875,0.0,543.60986328125,543.6099853515625,-0.0001220703125,531.7518310546875,sa11_reg[3]/CLK,rise
text_in_r_reg[21]/D,142.26953125,142.26953125,0.0,481.76336669921875,481.76336669921875,0.0,624.0328979492188,text_in_r_reg[21]/CLK,rise
text_out_reg[112]/D,-57.303863525390625,-57.303863525390625,0.0,543.233154296875,543.233154296875,0.0,485.9292907714844,sa11_reg[4]/CLK,rise
text_in_r_reg[96]/D,138.54638671875,138.54638671875,0.0,416.019775390625,416.019775390625,0.0,554.566162109375,text_in_r_reg[96]/CLK,rise
text_in_r_reg[13]/D,131.44772338867188,131.44772338867188,0.0,496.3373107910156,496.3373107910156,0.0,627.7850341796875,text_in_r_reg[13]/CLK,rise
u0_w_reg[0][29]/D,9.7430419921875,9.7430419921875,0.0,552.1837158203125,552.1837768554688,-6.103515625e-05,561.9268188476562,u0_w_reg[3][16]/CLK,rise
text_in_r_reg[90]/D,136.16845703125,136.16845703125,0.0,418.1180419921875,418.1180419921875,0.0,554.2864990234375,text_in_r_reg[90]/CLK,rise
sa13_reg[4]/D,-157.5233917236328,-157.5233917236328,0.0,409.8414001464844,409.8414611816406,-6.103515625e-05,252.3180694580078,u0_w_reg[3][20]/CLK,rise
u0_w_reg[3][30]/D,-132.3446044921875,-132.3446044921875,0.0,565.71142578125,565.7112426757812,0.00018310546875,433.36663818359375,u0_w_reg[3][23]/CLK,rise
u0_w_reg[1][18]/D,-185.5042724609375,-185.5042724609375,0.0,555.2279052734375,555.2279663085938,-6.103515625e-05,369.72369384765625,u0_w_reg[3][15]/CLK,rise
text_out_reg[74]/D,-103.8707275390625,-103.8707275390625,0.0,398.5675354003906,398.5675354003906,0.0,294.6968078613281,sa23_reg[0]/CLK,rise
sa00_reg[7]/D,6.2518310546875,6.2518310546875,0.0,500.8472900390625,500.8472900390625,0.0,507.09912109375,u0_w_reg[0][31]/CLK,rise
u0_w_reg[2][31]/D,-80.02581787109375,-80.02581787109375,0.0,586.040283203125,586.040283203125,0.0,506.01446533203125,u0_w_reg[3][16]/CLK,fall
text_in_r_reg[26]/D,141.23818969726562,141.23818969726562,0.0,409.5472717285156,409.5472717285156,0.0,550.7854614257812,text_in_r_reg[26]/CLK,rise
u0_w_reg[0][4]/D,-77.84759521484375,-77.84759521484375,0.0,536.8362426757812,536.8363037109375,-6.103515625e-05,458.98870849609375,u0_w_reg[3][25]/CLK,fall
text_in_r_reg[23]/D,141.75479125976562,141.75479125976562,0.0,471.7387390136719,471.7387390136719,0.0,613.4935302734375,text_in_r_reg[23]/CLK,rise
sa10_reg[5]/D,-156.79217529296875,-156.79217529296875,0.0,599.7155151367188,599.7154541015625,6.103515625e-05,442.92327880859375,sa11_reg[3]/CLK,fall
text_out_reg[36]/D,-266.2153625488281,-266.2153625488281,0.0,560.7877197265625,560.7877197265625,0.0,294.5723571777344,sa31_reg[7]/CLK,rise
text_in_r_reg[111]/D,135.890625,135.890625,0.0,477.27264404296875,477.27264404296875,0.0,613.1632690429688,text_in_r_reg[111]/CLK,rise
text_in_r_reg[44]/D,131.49185180664062,131.49185180664062,0.0,488.1591491699219,488.1591491699219,0.0,619.6510009765625,text_in_r_reg[44]/CLK,rise
text_in_r_reg[68]/D,156.3714599609375,156.3714599609375,0.0,108.48607635498047,108.48607635498047,0.0,264.8575439453125,text_in_r_reg[68]/CLK,rise
text_in_r_reg[93]/D,146.8603057861328,146.8603057861328,0.0,129.22128295898438,129.22129821777344,-1.52587890625e-05,276.08160400390625,text_in_r_reg[93]/CLK,rise
text_in_r_reg[86]/D,157.10867309570312,157.10867309570312,0.0,105.76502227783203,105.76502227783203,0.0,262.8736877441406,text_in_r_reg[86]/CLK,rise
sa20_reg[0]/D,13.6392822265625,13.6392822265625,0.0,482.75286865234375,482.75286865234375,0.0,496.39215087890625,text_in_r_reg[104]/CLK,rise
sa30_reg[0]/D,18.83831787109375,18.83831787109375,0.0,420.85906982421875,420.85906982421875,0.0,439.6973876953125,text_in_r_reg[96]/CLK,rise
text_in_r_reg[39]/D,141.12203979492188,141.12203979492188,0.0,479.9652099609375,479.9652404785156,-3.0517578125e-05,621.0872802734375,text_in_r_reg[39]/CLK,rise
text_out_reg[78]/D,146.22906494140625,146.22906494140625,0.0,379.4051513671875,379.40521240234375,-6.103515625e-05,525.63427734375,sa23_reg[0]/CLK,rise
text_out_reg[24]/D,7.749114990234375,7.749114990234375,0.0,463.3110046386719,463.3109436035156,6.103515625e-05,471.06005859375,sa03_reg[6]/CLK,rise
text_out_reg[44]/D,-237.45303344726562,-237.45303344726562,0.0,532.7650756835938,532.7650756835938,0.0,295.3120422363281,sa20_reg[4]/CLK,rise
sa03_reg[0]/D,-140.68399047851562,-140.68399047851562,0.0,589.8822631835938,589.88232421875,-6.103515625e-05,449.1983337402344,sa10_reg[1]/CLK,fall
text_out_reg[93]/D,26.38885498046875,26.38885498046875,0.0,533.9886474609375,533.9885864257812,6.103515625e-05,560.37744140625,sa01_reg[1]/CLK,rise
text_out_reg[13]/D,-238.50140380859375,-238.50140380859375,0.0,517.9755859375,517.9755249023438,6.103515625e-05,279.47412109375,sa21_reg[1]/CLK,rise
text_in_r_reg[117]/D,140.59628295898438,140.59628295898438,0.0,482.603271484375,482.6033020019531,-3.0517578125e-05,623.1995849609375,text_in_r_reg[117]/CLK,rise
sa13_reg[0]/D,-296.1477966308594,-296.1477966308594,0.0,571.6148681640625,571.6148681640625,0.0,275.4670715332031,sa21_reg[1]/CLK,rise
text_out_reg[118]/D,-40.443603515625,-40.443603515625,0.0,555.7377319335938,555.7377319335938,0.0,515.2941284179688,sa11_reg[7]/CLK,rise
text_out_reg[102]/D,16.349395751953125,16.349395751953125,0.0,468.5036315917969,468.503662109375,-3.0517578125e-05,484.8530578613281,sa33_reg[7]/CLK,rise
sa10_reg[7]/D,-42.48883056640625,-42.48883056640625,0.0,493.70025634765625,493.7002868652344,-3.0517578125e-05,451.2114562988281,text_in_r_reg[119]/CLK,rise
text_in_r_reg[7]/D,133.90615844726562,133.90615844726562,0.0,490.6805419921875,490.6805725097656,-3.0517578125e-05,624.5867309570312,text_in_r_reg[7]/CLK,rise
u0_r0_out_reg[27]/D,-36.78814697265625,-36.78814697265625,0.0,606.965576171875,606.965576171875,0.0,570.1774291992188,u0_r0_rcnt_reg[0]/CLK,rise
text_out_reg[86]/D,-21.1629638671875,-21.1629638671875,0.0,553.262451171875,553.2625122070312,-6.103515625e-05,532.0995483398438,sa12_reg[1]/CLK,rise
text_in_r_reg[30]/D,142.10232543945312,142.10232543945312,0.0,409.65814208984375,409.6581726074219,-3.0517578125e-05,551.760498046875,text_in_r_reg[30]/CLK,rise
u0_w_reg[0][23]/D,-46.84649658203125,-46.84649658203125,0.0,553.8953857421875,553.8953857421875,0.0,507.04888916015625,u0_w_reg[3][15]/CLK,fall
u0_w_reg[3][14]/D,-99.20440673828125,-99.20440673828125,0.0,539.5518188476562,539.5518188476562,0.0,440.347412109375,u0_w_reg[3][7]/CLK,rise
sa00_reg[4]/D,-9.465728759765625,-9.465728759765625,0.0,445.7695007324219,445.76947021484375,3.0517578125e-05,436.3037414550781,u0_w_reg[0][28]/CLK,rise
sa03_reg[1]/D,11.76019287109375,11.76019287109375,0.0,434.66302490234375,434.6630859375,-6.103515625e-05,446.42327880859375,u0_w_reg[3][25]/CLK,rise
sa00_reg[2]/D,-87.22235107421875,-87.22235107421875,0.0,599.4867553710938,599.4867553710938,0.0,512.264404296875,sa11_reg[3]/CLK,fall
text_in_r_reg[75]/D,131.43295288085938,131.43295288085938,0.0,423.4767150878906,423.4767150878906,0.0,554.90966796875,text_in_r_reg[75]/CLK,rise
u0_w_reg[2][18]/D,-296.8879699707031,-296.8879699707031,0.0,564.3755493164062,564.37548828125,6.103515625e-05,267.4875183105469,u0_w_reg[3][15]/CLK,fall
sa31_reg[5]/D,-9.435821533203125,-9.435821533203125,0.0,498.4630126953125,498.4630432128906,-3.0517578125e-05,489.0272216796875,text_in_r_reg[69]/CLK,fall
sa23_reg[3]/D,-212.4796142578125,-212.4796142578125,0.0,482.5626220703125,482.5626220703125,0.0,270.0830078125,text_in_r_reg[11]/CLK,rise
text_in_r_reg[109]/D,169.7742919921875,169.7742919921875,0.0,89.41744232177734,89.41744232177734,0.0,259.1917419433594,text_in_r_reg[109]/CLK,rise
text_out_reg[15]/D,-123.34597778320312,-123.34597778320312,0.0,509.88690185546875,509.88690185546875,0.0,386.5409240722656,sa21_reg[7]/CLK,rise
text_out_reg[106]/D,-34.01177978515625,-34.01177978515625,0.0,495.314697265625,495.31475830078125,-6.103515625e-05,461.302978515625,sa22_reg[3]/CLK,rise
sa02_reg[0]/D,-170.84033203125,-170.84033203125,0.0,431.0096435546875,431.0096435546875,0.0,260.1693115234375,text_in_r_reg[56]/CLK,rise
text_in_r_reg[103]/D,143.2862548828125,143.2862548828125,0.0,482.39996337890625,482.39996337890625,0.0,625.6862182617188,text_in_r_reg[103]/CLK,rise
text_in_r_reg[113]/D,135.78067016601562,135.78067016601562,0.0,475.8956604003906,475.8956604003906,0.0,611.6763305664062,text_in_r_reg[113]/CLK,rise
text_in_r_reg[45]/D,175.18869018554688,175.18869018554688,0.0,84.90483856201172,84.90483856201172,0.0,260.0935363769531,text_in_r_reg[45]/CLK,rise
text_out_reg[17]/D,-56.68939208984375,-56.68939208984375,0.0,543.277099609375,543.277099609375,0.0,486.58770751953125,sa10_reg[3]/CLK,rise
text_out_reg[33]/D,-28.35064697265625,-28.35064697265625,0.0,554.2481079101562,554.2481079101562,0.0,525.8974609375,sa31_reg[7]/CLK,rise
text_out_reg[58]/D,-230.37435913085938,-230.37435913085938,0.0,525.767822265625,525.7678833007812,-6.103515625e-05,295.3935241699219,sa02_reg[1]/CLK,rise
text_out_reg[72]/D,129.8651123046875,129.8651123046875,0.0,401.80072021484375,401.80072021484375,0.0,531.6658325195312,sa23_reg[0]/CLK,rise
text_in_r_reg[127]/D,141.52435302734375,141.52435302734375,0.0,483.5285339355469,483.528564453125,-3.0517578125e-05,625.0529174804688,text_in_r_reg[127]/CLK,rise
u0_w_reg[1][11]/D,-54.474517822265625,-54.474517822265625,0.0,561.729736328125,561.7297973632812,-6.103515625e-05,507.2552795410156,u0_w_reg[3][3]/CLK,fall
u0_w_reg[1][29]/D,-58.29864501953125,-58.29864501953125,0.0,572.995849609375,572.995849609375,0.0,514.6972045898438,u0_w_reg[3][16]/CLK,fall
text_out_reg[46]/D,-226.68569946289062,-226.68569946289062,0.0,522.6465454101562,522.6465454101562,0.0,295.9608459472656,sa20_reg[4]/CLK,rise
text_in_r_reg[116]/D,179.34725952148438,179.34725952148438,0.0,75.8253173828125,75.8253173828125,0.0,255.17257690429688,text_in_r_reg[116]/CLK,rise
sa31_reg[2]/D,-85.65313720703125,-85.65313720703125,0.0,600.3753662109375,600.375244140625,0.0001220703125,514.7221069335938,sa01_reg[1]/CLK,fall
sa11_reg[2]/D,65.23052978515625,65.23052978515625,0.0,438.7232971191406,438.72332763671875,-3.0517578125e-05,503.953857421875,text_in_r_reg[82]/CLK,rise
text_out_reg[8]/D,-77.35964965820312,-77.35964965820312,0.0,523.4786376953125,523.4786376953125,0.0,446.1189880371094,sa21_reg[1]/CLK,rise
sa11_reg[7]/D,20.9697265625,20.9697265625,0.0,493.0980529785156,493.0980224609375,3.0517578125e-05,514.0677490234375,text_in_r_reg[87]/CLK,rise
text_in_r_reg[77]/D,141.89901733398438,141.89901733398438,0.0,472.7989807128906,472.7989807128906,0.0,614.697998046875,text_in_r_reg[77]/CLK,rise
sa02_reg[7]/D,-213.14959716796875,-213.14959716796875,0.0,474.81182861328125,474.81182861328125,0.0,261.6622314453125,text_in_r_reg[63]/CLK,rise
text_in_r_reg[89]/D,156.40084838867188,156.40084838867188,0.0,107.41604614257812,107.41604614257812,0.0,263.81689453125,text_in_r_reg[89]/CLK,rise
u0_w_reg[2][0]/D,-136.33538818359375,-136.33538818359375,0.0,569.9296875,569.9296264648438,6.103515625e-05,433.59423828125,u0_w_reg[3][29]/CLK,fall
u0_w_reg[0][2]/D,-64.16424560546875,-64.16424560546875,0.0,541.245849609375,541.245849609375,0.0,477.08160400390625,u0_w_reg[3][25]/CLK,rise
sa33_reg[2]/D,-205.91705322265625,-205.91705322265625,0.0,579.8798828125,579.8798828125,0.0,373.96282958984375,sa10_reg[1]/CLK,fall
text_out_reg[122]/D,11.12261962890625,11.12261962890625,0.0,545.3154296875,545.3154907226562,-6.103515625e-05,556.4381103515625,sa00_reg[1]/CLK,rise
text_in_r_reg[19]/D,137.92141723632812,137.92141723632812,0.0,486.23687744140625,486.2369079589844,-3.0517578125e-05,624.1583251953125,text_in_r_reg[19]/CLK,rise
text_in_r_reg[52]/D,130.57061767578125,130.57061767578125,0.0,422.48883056640625,422.48883056640625,0.0,553.0594482421875,text_in_r_reg[52]/CLK,rise
u0_w_reg[2][9]/D,-93.69964599609375,-93.69964599609375,0.0,552.5685424804688,552.5685424804688,0.0,458.868896484375,u0_w_reg[3][3]/CLK,fall
text_in_r_reg[25]/D,173.84445190429688,173.84445190429688,0.0,83.22705078125,83.22705841064453,-7.62939453125e-06,257.0715026855469,text_in_r_reg[25]/CLK,rise
u0_w_reg[2][30]/D,-135.18618774414062,-135.18618774414062,0.0,577.346923828125,577.3468017578125,0.0001220703125,442.1606140136719,u0_w_reg[3][23]/CLK,rise
text_in_r_reg[61]/D,143.52227783203125,143.52227783203125,0.0,471.88751220703125,471.88751220703125,0.0,615.4097900390625,text_in_r_reg[61]/CLK,rise
sa01_reg[1]/D,32.96728515625,32.96728515625,0.0,487.4499206542969,487.449951171875,-3.0517578125e-05,520.417236328125,u0_w_reg[1][25]/CLK,rise
sa23_reg[4]/D,-49.561981201171875,-49.561981201171875,0.0,418.0808410644531,418.0808410644531,0.0,368.51885986328125,text_in_r_reg[12]/CLK,rise
sa33_reg[3]/D,-68.79638671875,-68.79638671875,0.0,499.515869140625,499.515869140625,0.0,430.719482421875,text_in_r_reg[3]/CLK,rise
u0_w_reg[2][28]/D,-143.18081665039062,-143.18081665039062,0.0,577.6448974609375,577.64501953125,-0.0001220703125,434.4642028808594,u0_w_reg[3][16]/CLK,fall
u0_r0_rcnt_reg[2]/D,10.2418212890625,10.2418212890625,0.0,563.8521728515625,563.8521728515625,0.0,574.093994140625,u0_r0_rcnt_reg[0]/CLK,rise
text_in_r_reg[48]/D,130.25302124023438,130.25302124023438,0.0,421.5265808105469,421.5265808105469,0.0,551.7796020507812,text_in_r_reg[48]/CLK,rise
text_in_r_reg[34]/D,137.17721557617188,137.17721557617188,0.0,486.72454833984375,486.7245788574219,-3.0517578125e-05,623.9017944335938,text_in_r_reg[34]/CLK,rise
text_in_r_reg[3]/D,133.15078735351562,133.15078735351562,0.0,491.5575866699219,491.5575866699219,0.0,624.7083740234375,text_in_r_reg[3]/CLK,rise
text_in_r_reg[81]/D,159.56124877929688,159.56124877929688,0.0,103.22380828857422,103.22380828857422,0.0,262.7850646972656,text_in_r_reg[81]/CLK,rise
text_out_reg[73]/D,-102.46438598632812,-102.46438598632812,0.0,388.9214172363281,388.9214172363281,0.0,286.45703125,sa23_reg[0]/CLK,rise
text_out_reg[68]/D,-10.3197021484375,-10.3197021484375,0.0,548.9325561523438,548.9324951171875,6.103515625e-05,538.61279296875,sa30_reg[7]/CLK,rise
sa12_reg[6]/D,22.7928466796875,22.7928466796875,0.0,474.1573181152344,474.15728759765625,3.0517578125e-05,496.95013427734375,text_in_r_reg[54]/CLK,rise
sa03_reg[4]/D,-93.88787841796875,-93.88787841796875,0.0,488.63421630859375,488.63421630859375,0.0,394.746337890625,text_in_r_reg[28]/CLK,rise
u0_r0_rcnt_reg[0]/D,135.53439331054688,135.53439331054688,0.0,494.4786376953125,494.4786682128906,-3.0517578125e-05,630.0130615234375,u0_r0_rcnt_reg[0]/CLK,rise
sa32_reg[0]/D,13.583251953125,13.583251953125,0.0,420.4231872558594,420.4232177734375,-3.0517578125e-05,434.0064697265625,text_in_r_reg[32]/CLK,fall
u0_r0_out_reg[25]/D,-41.62579345703125,-41.62579345703125,0.0,610.9276123046875,610.9275512695312,6.103515625e-05,569.3017578125,u0_r0_rcnt_reg[0]/CLK,rise
u0_w_reg[1][4]/D,-90.44708251953125,-90.44708251953125,0.0,551.8056030273438,551.8057250976562,-0.0001220703125,461.358642578125,u0_w_reg[3][25]/CLK,rise
u0_w_reg[2][14]/D,-118.83197021484375,-118.83197021484375,0.0,551.4736328125,551.4735717773438,6.103515625e-05,432.6416015625,u0_w_reg[3][7]/CLK,fall
sa10_reg[1]/D,28.2825927734375,28.2825927734375,0.0,487.4881591796875,487.4881591796875,0.0,515.770751953125,text_in_r_reg[113]/CLK,rise
u0_w_reg[1][16]/D,-65.2088623046875,-65.2088623046875,0.0,556.2351684570312,556.2351684570312,0.0,491.02630615234375,u0_w_reg[3][15]/CLK,fall
text_out_reg[76]/D,146.30230712890625,146.30230712890625,0.0,398.8531799316406,398.8531494140625,3.0517578125e-05,545.1554565429688,sa23_reg[0]/CLK,rise
sa01_reg[6]/D,300.6604919433594,300.6604919433594,0.0,205.51425170898438,205.51425170898438,0.0,506.17474365234375,u0_w_reg[1][30]/CLK,rise
text_in_r_reg[17]/D,139.4818115234375,139.4818115234375,0.0,412.6231689453125,412.6231689453125,0.0,552.10498046875,text_in_r_reg[17]/CLK,rise
text_in_r_reg[53]/D,139.896240234375,139.896240234375,0.0,485.85693359375,485.85693359375,0.0,625.753173828125,text_in_r_reg[53]/CLK,rise
text_out_reg[87]/D,4.0379638671875,4.0379638671875,0.0,554.751220703125,554.751220703125,0.0,558.7891845703125,sa12_reg[1]/CLK,rise
sa20_reg[5]/D,277.7843017578125,277.7843017578125,0.0,179.0445556640625,179.04457092285156,-1.52587890625e-05,456.8288879394531,u0_w_reg[0][13]/CLK,fall
u0_w_reg[2][8]/D,-238.21151733398438,-238.21151733398438,0.0,546.7818603515625,546.7819213867188,-6.103515625e-05,308.5704040527344,u0_w_reg[3][3]/CLK,rise
u0_w_reg[1][6]/D,-69.22674560546875,-69.22674560546875,0.0,551.5213012695312,551.5214233398438,-0.0001220703125,482.294677734375,u0_w_reg[3][25]/CLK,fall
text_in_r_reg[6]/D,139.78759765625,139.78759765625,0.0,412.1554260253906,412.1553955078125,3.0517578125e-05,551.9429931640625,text_in_r_reg[6]/CLK,rise
sa32_reg[2]/D,-22.744964599609375,-22.744964599609375,0.0,490.72552490234375,490.7255554199219,-3.0517578125e-05,467.9805908203125,text_in_r_reg[34]/CLK,rise
u0_r0_out_reg[29]/D,-50.80487060546875,-50.80487060546875,0.0,619.1283569335938,619.1283569335938,0.0,568.323486328125,u0_r0_rcnt_reg[0]/CLK,rise
u0_w_reg[2][7]/D,-51.026123046875,-51.026123046875,0.0,557.8331298828125,557.8331909179688,-6.103515625e-05,506.80706787109375,u0_w_reg[3][25]/CLK,fall
text_out_reg[79]/D,171.33572387695312,171.33572387695312,0.0,387.97467041015625,387.9747009277344,-3.0517578125e-05,559.3104248046875,sa23_reg[0]/CLK,rise
text_out_reg[55]/D,69.77911376953125,69.77911376953125,0.0,477.86907958984375,477.8690185546875,6.103515625e-05,547.6481323242188,sa13_reg[1]/CLK,rise
sa03_reg[2]/D,31.423004150390625,31.423004150390625,0.0,416.0848388671875,416.0848693847656,-3.0517578125e-05,447.50787353515625,text_in_r_reg[26]/CLK,fall
u0_w_reg[1][9]/D,-42.87786865234375,-42.87786865234375,0.0,555.1123657226562,555.1123657226562,0.0,512.2344970703125,u0_w_reg[3][3]/CLK,fall
